category_id,line_count,revenue_total,revenue_mean
1,18718,118898915,6352.11641200983
2,17618,112033211,6359.019809285957
3,21177,135379339,6392.753411720262
4,19685,126683191,6435.518973837948
5,21429,136704132,6379.398572028559
6,20350,129309749,6354.287420147421
7,18982,120955964,6372.140132757349
8,20950,132816590,6339.694033412888
9,20909,132465085,6335.314218757473
10,20312,130541445,6426.813952343442
11,20300,129692788,6388.807290640394
12,21080,133897588,6351.8779886148
13,20746,132409449,6382.408608888461
14,18689,119279003,6382.310610519557
15,20219,128354546,6348.214352836441
16,20618,129764814,6293.763410612087
17,20763,132292751,6371.562442806916
18,19406,122830679,6329.520715242708
19,19499,125439819,6433.141135442843
20,19913,126434094,6349.32426053332
21,21066,135329061,6424.051125035602
22,19760,126567395,6405.23254048583
23,18243,117133042,6420.711615414131
24,18930,121605160,6423.938721605917
25,19825,127557740,6434.1861286254725
26,21129,134697069,6374.985517535141
27,19704,125610068,6374.85119772635
28,20957,133603891,6375.1439137281095
29,19170,122143415,6371.5918101199795
30,19853,127316143,6412.94227572659
