level,setting,identifier,record_count,even_share,vs_even
spark_partition,2,partition_0,219507,300000.0,0.732
spark_partition,2,partition_1,380493,300000.0,1.268
spark_partition,4,partition_0,99746,150000.0,0.665
spark_partition,4,partition_1,199537,150000.0,1.33
spark_partition,4,partition_2,119761,150000.0,0.798
spark_partition,4,partition_3,180956,150000.0,1.206
spark_partition,8,partition_0,79921,75000.0,1.066
spark_partition,8,partition_1,100883,75000.0,1.345
spark_partition,8,partition_2,41741,75000.0,0.557
spark_partition,8,partition_3,120010,75000.0,1.6
spark_partition,8,partition_4,19825,75000.0,0.264
spark_partition,8,partition_5,98654,75000.0,1.315
spark_partition,8,partition_6,78020,75000.0,1.04
spark_partition,8,partition_7,60946,75000.0,0.813
partition_key,category_id,5,21429,20000.0,1.071
partition_key,category_id,3,21177,20000.0,1.059
partition_key,category_id,26,21129,20000.0,1.056
partition_key,category_id,12,21080,20000.0,1.054
partition_key,category_id,21,21066,20000.0,1.053
partition_key,category_id,28,20957,20000.0,1.048
partition_key,category_id,8,20950,20000.0,1.048
partition_key,category_id,9,20909,20000.0,1.045
partition_key,category_id,17,20763,20000.0,1.038
partition_key,category_id,13,20746,20000.0,1.037
partition_key,category_id,16,20618,20000.0,1.031
partition_key,category_id,6,20350,20000.0,1.018
partition_key,category_id,10,20312,20000.0,1.016
partition_key,category_id,11,20300,20000.0,1.015
partition_key,category_id,15,20219,20000.0,1.011
partition_key,category_id,20,19913,20000.0,0.996
partition_key,category_id,30,19853,20000.0,0.993
partition_key,category_id,25,19825,20000.0,0.991
partition_key,category_id,22,19760,20000.0,0.988
partition_key,category_id,27,19704,20000.0,0.985
partition_key,category_id,4,19685,20000.0,0.984
partition_key,category_id,19,19499,20000.0,0.975
partition_key,category_id,18,19406,20000.0,0.97
partition_key,category_id,29,19170,20000.0,0.959
partition_key,category_id,7,18982,20000.0,0.949
partition_key,category_id,24,18930,20000.0,0.947
partition_key,category_id,1,18718,20000.0,0.936
partition_key,category_id,14,18689,20000.0,0.934
partition_key,category_id,23,18243,20000.0,0.912
partition_key,category_id,2,17618,20000.0,0.881
